Distance,Speed
0.4403752795400179,229
4.896388888888893,231
13.279098425238224,233
20.497777777777777,235
31.81262257546128,237
33.83111111111111,240
44.720000000000006,245
46.78960002006718,247
69.31132956924797,250
70.02000000000001,253
84.24222222222222,256
85.0307486332602,257
98.0335693215859,258
98.68666666666667,260
114.06429682734665,261
119.14222222222223,263
128.8666384352948,265
137.0088888888889,268
149.0088888888889,270
151.34654736936488,271
164.2513888888889,273
177.3019329108611,275
185.79583333333332,277
194.31312279510917,278
198.19583333333333,279
211.45583235960086,280
216.92916666666665,281
227.10218040136752,281
238.8625,282
239.64773802206267,282
251.44027777777777,283
271.0650507797826,283
273.5291666666667,284
289.1402777777778,281
291.19752787973255,258
300.1665632047451,235
315.17361111111114,213
316.80435405156135,207
324.1513888888889,202
334.65138888888885,189
337.1289740382528,185
340.11991961352294,181
344.54027777777776,178
351.45299941824703,171
355.54027777777776,165
363.8117710222095,161
372.3286996321127,158
374.4847222222222,155
380.74690658681016,153
382.8736111111111,151
388.2097182262092,150
392.8069444444444,149
396.52911246202126,150
401.1958333333333,151
404.9376754528614,151
407.9513888888889,152
411.7946869170919,154
418.41805555555555,157
425.4847222222222,159
426.7910134683635,161
432.3043956201844,163
432.77222222222224,165
443.87628476813825,169
444.3722222222222,174
456.5722222222222,183
467.18333333333334,191
467.72963382712015,194
477.90227160695065,197
484.7980610905382,200
485.31666666666666,204
496.92777777777775,209
499.9410663000087,211
511.989129798507,214
516.2166666666667,217
523.0881947072734,221
533.7166666666667,225
540.8057244843535,227
552.4820354362058,230
557.0813888888889,233
575.111439441033,237
583.8591666666667,241
588.5705153078901,242
597.3591666666667,243
608.3369444444445,247
609.0273934895853,248
615.886467596926,249
629.8547788880396,250
639.0147222222222,251
650.8352967419731,251
653.0147222222223,252
675.7702777777779,256
676.4147718413362,257
689.349415205371,258
693.0369444444445,259
704.6813888888888,262
705.3397636679509,263
721.5344072833536,264
722.3480555555554,265
745.3280580783788,266
758.0813888888888,268
761.7345663393193,268
782.5920585550045,268
790.8369444444443,268
794.4710882546228,267
815.2141345333505,267
820.503611111111,267
832.4591666666665,269
833.1290035812771,268
844.3258333333332,267
850.9419417704846,267
856.2369444444444,268
868.9024593141942,269
874.2369444444444,270
880.9287147653052,270
895.2394444444443,271
905.0589825934092,271
907.3283333333331,272
919.4616666666665,273
920.2230560728323,274
938.6882924734651,275
943.9949999999998,276
961.8094586164221,277
965.6172222222219,278
985.3211728765611,280
990.7727777777775,283
1012.2740224518959,284
1022.6299999999997,286
1025.023126352332,287
1045.0299999999995,288
1052.2748599883807,289
1061.1411111111106,290
1079.6525420796754,290
1083.696666666666,290
1092.6347446378818,292
1113.096666666666,294
1113.834617325275,294
1133.5429643948712,295
1142.6966666666658,296
1159.2522222222217,298
1159.9970851520782,298
1172.4966666666658,298
1174.9041928037104,298
1189.9061471761813,299
1192.496666666666,300
1226.8028987037494,301
1229.4077777777773,302
1243.614796204497,302
1252.9744444444436,303
1263.8962906521272,303
1273.2411111111105,304
1289.6299999999994,295
1296.5002322041364,280
1307.296666666666,265
1310.4987711797044,250
1316.5936214476537,235
1321.9633333333327,220
1331.1633333333327,207
1332.7250041549376,196
1344.3533065040942,186
1344.8522222222216,176
1356.8299999999995,154
1359.5979803824525,149
1366.5263456523098,144
1369.185555555555,139
1376.426944444444,131
1378.1766400572842,127
1384.8816605544205,123
1388.426944444444,120
1397.396358285111,115
1399.426944444444,110
1402.0457724586438,106
1406.226944444444,102
1409.2998650352902,100
1411.726944444444,99
1413.633334631725,97
1418.0602777777774,95
1420.3751098572047,93
1425.9160031742488,92
1426.1744444444441,91
1429.0630820333115,93
1434.7077777777774,96
1436.0468378890273,96
1439.0188888888886,97
1440.970768014293,99
1446.779287953671,101
1449.4188888888887,104
1454.1299999999999,106
1456.2051016691162,108
1460.241111111111,110
1466.3215350695998,113
1466.6855555555553,116
1473.5188888888886,123
1476.7121124225523,126
1479.2966666666664,130
1487.7512130292496,132
1489.7188888888886,134
1495.7076803007628,139
1496.163333333333,145
1504.774444444444,155
1509.747688391601,161
1515.9744444444439,168
1528.4578914356248,174
1530.0522222222216,181
1542.6522222222216,189
1545.2942244178462,192
1551.3633333333328,196
1560.2966666666662,201
1564.2452433998212,204
1576.043603354166,207
1576.7077777777774,211
1585.8610658561436,217
1599.1077777777773,224
1607.223834735354,225
1609.1966666666663,227
1624.15218144818,232
1632.8966666666663,237
1640.2338676808604,241
1657.3286111111108,245
1667.8252305263811,248
1679.1915041100292,251
1679.9063888888886,254
1692.2120098305718,257
1703.0174999999997,260
1709.637729354862,261
1725.8120112257875,262
1726.4841666666664,264
1739.4243711474733,268
1759.5011266751767,272
1763.360833333333,276
1775.7163888888886,278
1779.5983353829847,279
1791.3274999999996,281
1792.1144735015407,283
1813.5719444444442,286
1815.9725450395083,287
1820.7818234306371,288
1826.4163888888886,289
1845.949722222222,293
1846.768911481211,294
1859.1052777777775,296
1863.1592537357326,297
1875.7163888888888,299
1893.1857904070012,300
1895.7830555555554,301
1919.3497222222222,303
1937.2239275337754,306
1950.249722222222,309
1956.2207190588424,311
1981.549722222222,313
1982.3376562212893,314
1998.156539996176,315
2014.079088619832,316
2027.4830555555554,318
2040.7478151860062,319
2059.583055555556,321
2062.1747455291325,321
2073.8941666666665,322
2078.2855414146193,322
2094.440577602081,322
2095.4275,323
2114.1641119682713,323
2127.7274999999995,323
2135.7456571094413,324
2149.3941666666665,325
2157.4685411523624,326
2167.5608333333325,327
2172.0198102137574,327
2193.071944444444,328
2193.893195244703,328
2207.6941666666667,329
2215.8686608812086,330
2222.313333333333,331
2240.757777777777,332
2241.679894095529,332
2262.8911111111106,332
2277.691111111111,333
2282.409064324033,333
2304.6070864200738,333
2307.2911111111102,333
2343.563360811201,333
2344.4949999999994,334
2363.1616666666664,336
2369.691903988392,336
2381.8283333333325,336
2392.1393708302962,337
2404.3616666666658,338
2409.0681272892525,338
2430.6505555555545,338
2444.478599090798,333
2456.9435466952073,328
2463.0505555555546,324
2470.451806084821,308
2479.2727777777764,292
2487.4740738373685,278
2502.533133566785,265
2504.4727777777766,252
2516.3531732514525,222
2527.9394444444433,192
2537.898645218218,184
2545.2953219001097,176
2546.717222222221,169
2554.3109894380646,164
2555.6061111111103,160
2567.6986526978803,141
2569.272777777777,123
2572.5572068900256,114
2576.272777777777,105
2578.0828904136024,96
2583.1172222222212,88
2583.3225046753255,83
2588.383888888888,79
2589.4151421953648,76
2592.4949999999994,74
2594.2259961977306,72
2597.214027389107,70
2598.5394444444437,68
2602.062399440379,67
2602.261666666666,67
2605.2105073987914,64
2607.083888888888,62
2610.900325250943,61
2611.083888888888,60
2614.4005555555545,60
2614.9081250909303,59
2617.4831956709418,58
2618.2672222222213,58
2620.844999999999,58
2623.0531295521287,59
2623.55611111111,61
2627.95611111111,66
2628.9680706812774,71
2634.8219444444435,77
2635.054773295541,82
2640.6886111111103,88
2644.035106911976,90
2645.855277777777,93
2648.7201296807293,93
2650.0330555555547,94
2654.299722222221,96
2654.569294799529,96
2657.8292401575495,97
2660.8330555555544,98
2666.3330555555544,99
2668.3014407045384,108
2704.355277777777,118
2706.100336351383,124
2714.5441666666657,131
2716.426761130593,135
2726.9695699591443,140
2727.4330555555543,145
2736.099722222221,156
2745.210833333332,164
2747.475219000799,166
2752.677499999999,168
2760.985817080434,173
2762.566388888888,178
2773.6929901874246,186
2782.066388888888,195
2791.634880897252,200
2800.377499999999,206
2809.8441666666654,213
2810.3810447337128,215
2826.799722222221,218
2827.3578734906937,223
2841.9997222222214,228
2842.581628460834,231
2854.3942991676267,235
2865.8333333333326,239
2867.946825995073,243
2893.0318085181775,247
2902.088888888888,251
2909.8771934302576,252
2913.3333333333326,253
2924.7555555555546,257
2928.4511517288697,261
2954.3849999999993,266
2955.131720670231,267
2970.1190381732863,268
2972.3849999999993,270
2984.562777777777,274
2986.860621767442,275
2996.8738888888884,277
3006.9998379940153,279
3021.9405555555545,282
3027.46089867886,283
3047.273888888888,285
3055.988299237391,287
3069.7516666666656,289
3072.0959406412226,290
3082.7294444444437,292
3095.8405555555546,295
3099.8760407922264,296
3114.7744076857944,297
3119.0183333333325,298
3129.797069072557,299
3135.740555555555,301
3152.5183333333325,302
3156.6628802403447,303
3170.3050958978033,305
3179.8072222222213,307
3185.7185945235638,308
3207.273888888888,309
3220.137877331346,310
3241.9405555555545,312
3247.9665658479307,313
3262.9405555555545,315
3277.74534220055,315
3291.791465482186,315
3298.0516666666654,316
3314.794393445759,317
3322.8627777777765,319
3328.97435183081,319
3340.584999999999,319
3358.418333333332,321
3364.6024465199184,322
3390.8183333333322,324
3391.6305714452715,324
3405.262777777777,325
3411.5800456634115,325
3419.6169444444436,325
3441.350277777777,326
3444.1559372910783,326
3466.705833333333,326
3467.7065986130006,325
3487.81451297585,325
3502.9072222222217,325
3515.552908641487,312
3519.518333333333,299
3531.843393585029,273
3544.318333333333,248
3554.4961111111106,229
3558.848907358458,224
3571.529444444444,219
3580.1713060038346,214
3593.5904698818795,209
3594.1961111111104,204
3602.9072222222217,196
3603.390633625736,193
3613.9417804845198,191
3617.607222222222,189
3624.165275168066,185
3633.696111111111,181
3635.13308535628,179
3646.926739946073,177
3657.1627777777776,176
3658.5605941020335,174
3666.773888888889,173
3674.8966499370767,173
3680.2294444444447,173
3684.5000713234517,173
3692.1874773181826,173
3693.685,173
3701.462777777778,175
3707.8013187905312,176
3717.285,178
3725.7540512333353,180
3737.507222222222,182
3743.1546728052185,184
3745.818333333333,187
3757.9373399741394,189
3767.040555555556,191
3770.7045508489587,191
3777.6516666666666,191
3779.1893894762784,191
3788.262777777778,191
3796.7961111111113,192
3804.9054011874923,194
3812.040555555556,196
3822.6664021408646,199
3830.0286111111113,203
3830.6623073041783,205
3843.5566766227594,208
3844.095277777778,211
3861.2675,220
3864.3400760568084,221
3871.1341666666663,222
3876.793749302059,224
3884.4603615553315,226
3888.9452777777774,229
3901.181233406701,230
3901.8341666666665,232
3911.7703811994115,235
3923.9799579431046,238
3926.0341666666664,242
3936.31640164829,246
3956.711944444444,251
3960.173635229168,253
3976.5452777777773,255
3987.8786111111103,255
3989.953713443149,258
4011.167499999999,262
4020.6952954521043,264
4034.9008333333327,267
4041.553189753737,268
4058.067786112658,269
4061.9008333333327,270
4073.945277777777,271
4080.6870730109085,272
4086.078611111111,273
4107.389722222222,274
4111.136843502614,275
4122.723055555554,276
4123.415415192243,277
4144.345277777777,278
4154.326380865912,278
4156.700833333333,278
4172.36926444631,273
4177.623055555555,269
4187.106367691578,264
4192.067499999999,260
4240.600833333333,168
4241.893747814245,163
4248.796338693865,159
4249.211944444444,155
4255.571944444444,144
4256.008067353788,142
4266.224468582242,141
4268.016388888888,140
4272.509971874551,132
4278.224463219087,125
4278.538055555555,118
4284.426560318844,114
4288.315833333332,110
4290.34684374547,107
4295.38535958882,104
4298.415833333333,101
4304.153536970626,99
4306.038055555555,98
4309.467861770788,97
4311.371388888888,96
4316.011953669057,97
4316.871388888888,99
4320.463839210918,100
4322.482499999999,101
4325.667217140044,103
4331.136824038958,106
4335.804722222221,109
4336.705730654756,111
4340.826944444443,113
4346.429893387158,116
4347.49361111111,120
4354.947868831682,124
4356.09361111111,129
4363.2975789905595,132
4372.6592788639755,135
4373.082499999999,139
4380.69361111111,137
4381.787953869775,136
4386.69361111111,135
4392.560277777777,132
4394.349830188327,131
4398.382499999999,131
4402.977685072465,129
4405.49361111111,128
4412.929666312804,128
4418.39361111111,129
4424.648972338259,131
4430.6888698595585,133
4433.39361111111,135
4441.115833333332,139
4441.469487615793,140
4446.239215848869,141
4449.060277777777,143
4453.357131444942,143
4455.415833333333,143
4463.442798124674,148
4463.915833333333,153
4470.7602777777765,154
4471.18157731698,151
4484.250143675362,149
4485.460277777776,147
4491.502678502995,146
4491.8644444444435,145
4498.264444444443,144
4501.065475028485,142
4504.53111111111,141
4509.524441845601,139
4513.7024999999985,137
4524.179785871773,138
4529.714884676711,139
4532.502499999999,141
4542.611483703559,143
4543.8580555555545,146
4559.458055555555,156
4559.859898124376,158
4568.001734680964,161
4574.035833333332,164
4576.313738917845,166
4581.546944444444,169
4589.84852124756,174
4597.546944444444,180
4603.233377341407,183
4612.845297441448,187
4614.524722222222,191
4623.324722222223,198
4624.954165529913,201
4638.851730753651,205
4644.224722222222,209
4653.780277777778,215
4656.763666412599,217
4667.986848113624,220
4680.701283582177,223
4681.4025,226
4694.235833333334,231
4694.821915568474,234
4704.769166666667,237
4720.06269098241,239
4723.5136111111115,241
4733.706000939782,243
4747.551035246831,245
4748.313611111112,248
4762.2025,250
4769.805697683095,251
4784.602500000001,252
4785.236081007648,253
4798.713611111111,254
4800.759675952004,254
4813.447189967415,254
4824.113611111111,254
4839.020811882375,255
4852.558055555556,256
4856.12494507395,256
4866.835833333334,257
4881.097500000001,258
4884.789569482218,260
4898.636944444445,262
4899.364380189126,262
4913.192500000001,262
4924.205671431554,263
4924.925833333334,264
4944.136944444444,247
4955.248695572363,242
4962.938305065485,238
4972.736944444444,234
4983.974398374852,234
4988.336944444444,234
5002.570277777777,183
5006.646661802817,171
5013.170277777777,159
5019.436944444444,141
5022.043361201958,137
5026.881388888888,134
5028.6553038077855,130
5039.581388888888,127
5043.372359987061,126
5048.883161525631,125
5050.60361111111,124
5056.851676197185,121
5057.214722222221,119
5062.548055555554,120
5062.854422978557,122
5068.10361111111,125
5069.836732061198,127
5076.703611111109,129
5084.411489415122,131
5087.125833333332,134
5091.414991839731,140
5101.8258333333315,147
5102.2118043884875,151
5112.8425914762765,155
5114.270277777776,160
5124.231930521514,166
5127.725833333331,173
5142.510391996312,179
5144.1702777777755,185
5156.935211659998,191
5166.1423484159795,197
5168.981388888887,203
5178.003611111109,203
5190.812873898387,201
5193.559166666665,200
5197.376794021421,198
5206.019464081181,196
5208.725833333332,195
5217.338333333331,195
5220.068597176396,192
5221.3993944026015,191
